dataset, n_shots, random_seed, roc_auc, accuracy
calhousing, 4, 42, 0.40171901368700896, 0.560030549898167
calhousing, 4, 58, 0.5096600373623423, 0.5036659877800407
calhousing, 4, 97, 0.26709845864964604, 0.6669042769857434
calhousing, 8, 14, 0.3087981298731876, 0.6481670061099797
calhousing, 8, 26, 0.4698247085878022, 0.5131873727087576
calhousing, 8, 42, 0.28092747384019545, 0.6415478615071283
calhousing, 8, 58, 0.443657391010869, 0.5291242362525458
calhousing, 8, 97, 0.20056966128735726, 0.7208757637474542
calhousing, 16, 14, 0.17851536005158267, 0.725
calhousing, 16, 26, 0.10485919611803467, 0.7675661914460286
calhousing, 16, 42, 0.16357838726616244, 0.7554989816700611
calhousing, 16, 58, 0.2305154291984734, 0.7047352342158859
calhousing, 16, 97, 0.1742206931278931, 0.7460794297352342
calhousing, 32, 14, 0.12081182348781541, 0.7793279022403259
calhousing, 32, 26, 0.11570911894116573, 0.7880346232179226
calhousing, 32, 42, 0.1646686744498537, 0.759928716904277
calhousing, 32, 58, 0.17206754730368554, 0.7607942973523422
calhousing, 32, 97, 0.09546435491784083, 0.8220468431771895
calhousing, 64, 14, 0.1101024447273116, 0.8093177189409368
calhousing, 64, 26, 0.09220011977095953, 0.8226069246435845
calhousing, 64, 42, 0.12223293312306235, 0.7871181262729124
calhousing, 64, 58, 0.13024964817060275, 0.799643584521385
calhousing, 64, 97, 0.11034611803828445, 0.8129837067209776
heart, 4, 14, 0.4213366621855195, 0.5577342047930284
heart, 4, 26, 0.5974649510274631, 0.5642701525054467
heart, 4, 42, 0.33456884962550415, 0.6013071895424836
heart, 4, 58, 0.45475321682350683, 0.5076252723311547
heart, 4, 97, 0.3431150374495871, 0.681917211328976
heart, 8, 14, 0.27052045323602847, 0.5729847494553377
heart, 8, 26, 0.27443825619358553, 0.6361655773420479
heart, 8, 42, 0.4287881697714615, 0.5010893246187363
heart, 8, 58, 0.19517956596888802, 0.6579520697167756
heart, 8, 97, 0.21423084309583254, 0.6557734204793029
heart, 16, 14, 0.1703476089879009, 0.7647058823529411
heart, 16, 26, 0.12750144036873437, 0.803921568627451
heart, 16, 42, 0.271634338390628, 0.6296296296296297
heart, 16, 58, 0.1398117918187056, 0.7559912854030502
heart, 16, 97, 0.10841175340887269, 0.8082788671023965
heart, 32, 14, 0.15431150374495872, 0.7538126361655774
heart, 32, 26, 0.10910313040138277, 0.8278867102396514
heart, 32, 42, 0.13599001344344153, 0.7908496732026143
heart, 32, 58, 0.15123871711158055, 0.7407407407407407
heart, 32, 97, 0.11115805646245439, 0.7930283224400871
heart, 64, 14, 0.11021701555598233, 0.8169934640522876
heart, 64, 26, 0.09854042634914538, 0.8191721132897604
heart, 64, 42, 0.10109468023814096, 0.8169934640522876
heart, 64, 58, 0.1391012099097369, 0.7843137254901961
heart, 64, 97, 0.09381601690032647, 0.8453159041394336
